dataset,model,item,reference,transcript,latency_seconds,wer,cer
common_voice,whisper_large_v3,common_voice_8,आभा ने राठौड़ से जेल में मुलाकात की,आभा ने राठोर से जेल में मुलागात की,1.37,0.333,0.122
common_voice,indicconformer,common_voice_8,आभा ने राठौड़ से जेल में मुलाकात की,आभाा ने राठौर से जेल में मुलाकात की,1.009,0.333,0.073
common_voice,indicwav2vec,common_voice_8,आभा ने राठौड़ से जेल में मुलाकात की,आभा ने राठोर से चेल में मुलाकात की,0.018,0.333,0.146
common_voice,deepgram_nova3,common_voice_9,उसने हमसे बहुत देर तक इंतेज़ार करवाया।,उसने आपसे बहुत देर तक इंतज़ार करवाया.,1.841,0.286,0.064
common_voice,sarvam_saarika,common_voice_9,उसने हमसे बहुत देर तक इंतेज़ार करवाया।,उसने हमसे बहुत देर तक इंतज़ार करवाया।,0.669,0.143,0.021
common_voice,whisper_large_v3,common_voice_9,उसने हमसे बहुत देर तक इंतेज़ार करवाया।,उसने आपसे बहुत देर तक इंतजार करवाया हूँ,1.631,0.571,0.191
common_voice,indicconformer,common_voice_9,उसने हमसे बहुत देर तक इंतेज़ार करवाया।,उसने हबसे बहुत देर तक इंतजार करवाया,0.847,0.286,0.064
common_voice,indicwav2vec,common_voice_9,उसने हमसे बहुत देर तक इंतेज़ार करवाया।,उसने हमसे बहुत देर तक इंतजार करवाया हूं,0.019,0.286,0.128
common_voice,deepgram_nova3,common_voice_10,बाएं मुड़ो और तुम्हें एक कैफ़े मिलेगा।,By mood और तुम्हें एक café मिलेगा.,1.116,0.5,0.231
common_voice,sarvam_saarika,common_voice_10,बाएं मुड़ो और तुम्हें एक कैफ़े मिलेगा।,बाएं मुड़ो और तुम्हें एक कैफ़े मिलेगा।,0.959,0.0,0.0
common_voice,whisper_large_v3,common_voice_10,बाएं मुड़ो और तुम्हें एक कैफ़े मिलेगा।,बाएं मुड़ो और तुम्हें एक केफे मिलेगा,1.424,0.125,0.077
common_voice,indicconformer,common_voice_10,बाएं मुड़ो और तुम्हें एक कैफ़े मिलेगा।,बाएँ मुोड़ो और तुम्हें एक कैफे मिलेगा,1.006,0.5,0.128
common_voice,indicwav2vec,common_voice_10,बाएं मुड़ो और तुम्हें एक कैफ़े मिलेगा।,बाएं मोडो और तुम्हें एक केफे मिलेगा,0.02,0.375,0.128
common_voice,deepgram_nova3,common_voice_11,तुम्हारी साईकल मेरी साईकल जैसी है।,तुम्हारी cycle मेरी cycle जैसी है.,1.107,0.333,0.316
common_voice,sarvam_saarika,common_voice_11,तुम्हारी साईकल मेरी साईकल जैसी है।,तुम्हारी साइकिल मेरी साइकिल जैसी है,0.628,0.333,0.053
common_voice,whisper_large_v3,common_voice_11,तुम्हारी साईकल मेरी साईकल जैसी है।,तुम्हारी साइकल मेरी साइकल जैसी है,1.299,0.0,0.0
common_voice,indicconformer,common_voice_11,तुम्हारी साईकल मेरी साईकल जैसी है।,तुम्हारी साइकिल मेरी साइकिल जैसी है,0.888,0.333,0.053
common_voice,indicwav2vec,common_voice_11,तुम्हारी साईकल मेरी साईकल जैसी है।,तुम्हारी साइकिल मेरी साइकिल जैसी है,0.029,0.333,0.053
common_voice,deepgram_nova3,common_voice_12,उसने मेरे खिलाफ़ हथियार उठाया।,उसने मेरे खिलाफ हथियार उठाया.,1.264,0.2,0.057
common_voice,sarvam_saarika,common_voice_12,उसने मेरे खिलाफ़ हथियार उठाया।,उसने मेरे खिलाफ हथियार उठाया।,0.644,0.2,0.057
common_voice,whisper_large_v3,common_voice_12,उसने मेरे खिलाफ़ हथियार उठाया।,उसने मेरे किलाग अतियार उठाया हूँ,1.34,0.8,0.257
common_voice,indicconformer,common_voice_12,उसने मेरे खिलाफ़ हथियार उठाया।,उसने मेरे ख़िलाफ हथियार उठाया हो,0.845,0.4,0.171
common_voice,indicwav2vec,common_voice_12,उसने मेरे खिलाफ़ हथियार उठाया।,उसने मेरे खिलाफ हथियार उठाया,0.019,0.2,0.057
common_voice,deepgram_nova3,common_voice_13,कांस्टेबल बन मनोज बाजपेयी दिखा रहे हैं 'तांडव',Constable वन मनोज बाजपेय दिखा रहे हैं तांडव.,1.732,0.375,0.145
common_voice,sarvam_saarika,common_voice_13,कांस्टेबल बन मनोज बाजपेयी दिखा रहे हैं 'तांडव',कॉन्स्टेबल बन मनोज वाजपेयी दिखा रहे हैं तांडव,0.943,0.375,0.055
common_voice,whisper_large_v3,common_voice_13,कांस्टेबल बन मनोज बाजपेयी दिखा रहे हैं 'तांडव',कांस्टबल बन मनोज बाजपे दिखा रहे है तांडल,1.537,0.5,0.091
common_voice,indicconformer,common_voice_13,कांस्टेबल बन मनोज बाजपेयी दिखा रहे हैं 'तांडव',कांस्टेबल बन मनोज वाजपेयी दिखा रहे हैं ताडव,1.804,0.25,0.036
common_voice,indicwav2vec,common_voice_13,कांस्टेबल बन मनोज बाजपेयी दिखा रहे हैं 'तांडव',कांस्टेबल बनमनोज बाजपे दिखा रहे हैं तांडव,0.07,0.375,0.055
common_voice,deepgram_nova3,common_voice_14,वह चाय पी रहा है।,वह चाय पी रहा है.,1.421,0.0,0.0
common_voice,sarvam_saarika,common_voice_14,वह चाय पी रहा है।,वह चाय पी रहा है।,0.632,0.0,0.0
common_voice,whisper_large_v3,common_voice_14,वह चाय पी रहा है।,वह चाई पी रहा है,1.225,0.2,0.091
common_voice,indicconformer,common_voice_14,वह चाय पी रहा है।,वह चाय पी रहा है,1.011,0.0,0.0
common_voice,indicwav2vec,common_voice_14,वह चाय पी रहा है।,व जाय पी रहा है,0.021,0.4,0.182
common_voice,deepgram_nova3,common_voice_15,अब मच्छरों को मारेंगे मच्छर...,अब मच्छरों को मारेंगे मच्छर.,1.597,0.0,0.0
common_voice,sarvam_saarika,common_voice_15,अब मच्छरों को मारेंगे मच्छर...,अब मच्छरों को मारेंगे मच्छर,0.624,0.0,0.0
common_voice,whisper_large_v3,common_voice_15,अब मच्छरों को मारेंगे मच्छर...,अब मच्चरों को मारेंगे मच्चर,1.275,0.0,0.0
common_voice,indicconformer,common_voice_15,अब मच्छरों को मारेंगे मच्छर...,अब मच्छरों को मारेंगे मच्छर,1.139,0.0,0.0
common_voice,indicwav2vec,common_voice_15,अब मच्छरों को मारेंगे मच्छर...,अब मच्छरों को मारेंगे मच्छर,0.02,0.0,0.0
common_voice,deepgram_nova3,common_voice_16,जैक मुझसे तीन साल बड़ा है।,Jake मुझसे तीन साल बड़ा है.,1.429,0.143,0.061
common_voice,sarvam_saarika,common_voice_16,जैक मुझसे तीन साल बड़ा है।,जेक मुझसे तीन साल बड़ा है,0.616,0.143,0.061
common_voice,whisper_large_v3,common_voice_16,जैक मुझसे तीन साल बड़ा है।,जेक मुझसे तीन साल बड़ा है,1.244,0.143,0.061
common_voice,indicconformer,common_voice_16,जैक मुझसे तीन साल बड़ा है।,जेक मुझसे तीन साल बड़ा है,1.087,0.143,0.061
common_voice,indicwav2vec,common_voice_16,जैक मुझसे तीन साल बड़ा है।,जेक मुझसे तीन साल बड़ा है,0.029,0.143,0.061
common_voice,deepgram_nova3,common_voice_17,एक पागल इनसान को अपने किये-धरे के लिए ज़िम्मेदार नहीं ठहराया जा सकता।,एक पागल इंसान को अपने किए धरे के लिए ज़िम्मेदार नहीं दहराया जा सकता.,1.712,0.214,0.062
common_voice,sarvam_saarika,common_voice_17,एक पागल इनसान को अपने किये-धरे के लिए ज़िम्मेदार नहीं ठहराया जा सकता।,एक पागल इंसान को अपने किए धरे के लिए जिम्मेदार नहीं धैर्या जा सकता,0.818,0.286,0.099
common_voice,whisper_large_v3,common_voice_17,एक पागल इनसान को अपने किये-धरे के लिए ज़िम्मेदार नहीं ठहराया जा सकता।,एक पागल इंसान को अपने किये धरे के लिए जिम्मेदार नहीं धैराया जा सकता।,1.933,0.214,0.074
common_voice,indicconformer,common_voice_17,एक पागल इनसान को अपने किये-धरे के लिए ज़िम्मेदार नहीं ठहराया जा सकता।,एक पागल इसान को अपने कियए धरे के लिए ज़िम्मेदार नहीं हराया जा सकता,2.124,0.214,0.074
common_voice,indicwav2vec,common_voice_17,एक पागल इनसान को अपने किये-धरे के लिए ज़िम्मेदार नहीं ठहराया जा सकता।,एक पागल इंसान को अपने किए धरे के लिए जिम्मेदार नहीं धहराया जा सकता,0.078,0.286,0.062
common_voice,deepgram_nova3,common_voice_18,"कौन ज़्यादा तेज़ भागता है, केन या टोनी?","कौन ज़्यादा तेज भागता है, cane या टोनी?",1.139,0.25,0.098
common_voice,sarvam_saarika,common_voice_18,"कौन ज़्यादा तेज़ भागता है, केन या टोनी?",कौन ज़्यादा तेज़ भागता है? केन या टोनी?,0.716,0.0,0.0
common_voice,whisper_large_v3,common_voice_18,"कौन ज़्यादा तेज़ भागता है, केन या टोनी?",कौन ज्यादा तेज भागता है केन या टोनी,1.388,0.25,0.049
common_voice,indicconformer,common_voice_18,"कौन ज़्यादा तेज़ भागता है, केन या टोनी?",कौन ज़्यादा तेज भागता है केन या टोनी,1.301,0.125,0.024
common_voice,indicwav2vec,common_voice_18,"कौन ज़्यादा तेज़ भागता है, केन या टोनी?",कौन ज्यादा तेज भागता है केन या टोनी,0.024,0.25,0.049
common_voice,deepgram_nova3,common_voice_19,हमने उस उम्मीदवार को अपना मत दिया।,हमने उस उम्मीदवार को अपना मत दिया.,1.32,0.0,0.0
common_voice,sarvam_saarika,common_voice_19,हमने उस उम्मीदवार को अपना मत दिया।,हमने उस उम्मीदवार को अपना मत दिया,0.648,0.0,0.0
common_voice,whisper_large_v3,common_voice_19,हमने उस उम्मीदवार को अपना मत दिया।,हमने उस उम्मीदवार को अपना मत दिया।,1.376,0.0,0.0
common_voice,indicconformer,common_voice_19,हमने उस उम्मीदवार को अपना मत दिया।,हमने उस उम्मीदवार को अपना मत दिया,1.288,0.0,0.0
common_voice,indicwav2vec,common_voice_19,हमने उस उम्मीदवार को अपना मत दिया।,हमने उस उम्मीदवार को अपना मत दिया,0.021,0.0,0.0
kathbath,deepgram_nova3,kathbath_20,हमने ओबीसी तबके के बच्चों के लिए उच्च शिक्षा में आरक्षण दिया,हमने ओबीसी तबके के बच्चों के लिए उच्च शिक्षा में आरक्षण दिया.,1.27,0.0,0.0
kathbath,sarvam_saarika,kathbath_20,हमने ओबीसी तबके के बच्चों के लिए उच्च शिक्षा में आरक्षण दिया,हमने ओबीसी तबके के बच्चों के लिए उच्च शिक्षा में आरक्षण दिया,0.744,0.0,0.0
kathbath,whisper_large_v3,kathbath_20,हमने ओबीसी तबके के बच्चों के लिए उच्च शिक्षा में आरक्षण दिया,हमने OBC तबके के बच्चों के लिए उच्छ सिक्षा में आरच्छन दिया,1.804,0.25,0.097
kathbath,indicconformer,kathbath_20,हमने ओबीसी तबके के बच्चों के लिए उच्च शिक्षा में आरक्षण दिया,हमने ओबीसी तबके के बच्चों के लिए उच्च शिक्षा में आरक्षण दिया,1.007,0.0,0.0
kathbath,indicwav2vec,kathbath_20,हमने ओबीसी तबके के बच्चों के लिए उच्च शिक्षा में आरक्षण दिया,हमने ओबीसी तबके के बच्चों के लिए उच्च शिक्षा में आरक्षण दिया,0.021,0.0,0.0
kathbath,deepgram_nova3,kathbath_21,उसको छोड़कर लोग इस प्रकार के मुद्दो पर चर्चा कर रहे है,उसको छोड़ कर लोग इस प्रकार के मुद्दों पर चर्चा कर रहे हैं.,1.255,0.308,0.043
kathbath,sarvam_saarika,kathbath_21,उसको छोड़कर लोग इस प्रकार के मुद्दो पर चर्चा कर रहे है,उसको छोड़कर लोग इस प्रकार के मुद्दों पर चर्चा कर रहे हैं,0.894,0.154,0.029
kathbath,whisper_large_v3,kathbath_21,उसको छोड़कर लोग इस प्रकार के मुद्दो पर चर्चा कर रहे है,उसको छोड़कर लोग इस प्रकार के मुद्धों पर चर्चा कर रहे हैं,1.871,0.154,0.043
kathbath,indicconformer,kathbath_21,उसको छोड़कर लोग इस प्रकार के मुद्दो पर चर्चा कर रहे है,उसको छोड़कर लोग इस प्रकार के मुद्दों पर चर्चा कर रहे हैं,1.481,0.154,0.029
kathbath,indicwav2vec,kathbath_21,उसको छोड़कर लोग इस प्रकार के मुद्दो पर चर्चा कर रहे है,उसको छोड़कर लोग इस प्रकार के मुद्दों पर चर्चा कर रहे हैं,0.022,0.154,0.029
kathbath,deepgram_nova3,kathbath_22,उन्होंने कहा कि अतिथि अध्यापको को हटाना न्यायसंगत नहीं है,उन्होंने कहा कि अथिति अधिरापकों को ठाणा न्याय संगत नहीं है.,1.261,0.5,0.138
kathbath,sarvam_saarika,kathbath_22,उन्होंने कहा कि अतिथि अध्यापको को हटाना न्यायसंगत नहीं है,उन्होंने कहा कि अतिथि अध्यापकों को हटाना न्याय संगत नहीं है,0.777,0.3,0.031
kathbath,whisper_large_v3,kathbath_22,उन्होंने कहा कि अतिथि अध्यापको को हटाना न्यायसंगत नहीं है,उन्होंने कहा कि अथिती अधिवापों को कोटाना नयाय संगत नहीं है,1.756,0.5,0.169
kathbath,indicconformer,kathbath_22,उन्होंने कहा कि अतिथि अध्यापको को हटाना न्यायसंगत नहीं है,उन्होंने कहा कि अतिथि अध्यापकों को हटाना न्यायसंगत नहीं है,0.875,0.1,0.015
kathbath,indicwav2vec,kathbath_22,उन्होंने कहा कि अतिथि अध्यापको को हटाना न्यायसंगत नहीं है,उन्होंने कहा कि अतिति अध्यापकों को हटाना न्यायसंगत नहीं है,0.02,0.2,0.031
kathbath,deepgram_nova3,kathbath_23,चीन में मोबाइल फोन की लत एक युवती को बड़ी मुश्किल में डाल गई,चीन में mobile phone की लत एक युवती को बड़ी मुश्किल में डाल गई.,1.268,0.133,0.041
kathbath,sarvam_saarika,kathbath_23,चीन में मोबाइल फोन की लत एक युवती को बड़ी मुश्किल में डाल गई,चीन में मोबाइल फ़ोन की लत एक युवती को बड़ी मुश्किल में डाल गई,0.72,0.067,0.027
kathbath,whisper_large_v3,kathbath_23,चीन में मोबाइल फोन की लत एक युवती को बड़ी मुश्किल में डाल गई,चीन में मोबाइल फोन की लत एक युवदी को बड़ी मुश्किल में डाल गई,1.855,0.067,0.014
kathbath,indicconformer,kathbath_23,चीन में मोबाइल फोन की लत एक युवती को बड़ी मुश्किल में डाल गई,चीन में मोबाइल फोन की लत एक युवती को बड़ी मुश्किल में डाल गई,1.136,0.0,0.0
kathbath,indicwav2vec,kathbath_23,चीन में मोबाइल फोन की लत एक युवती को बड़ी मुश्किल में डाल गई,चीन में मोबाइल फ़ोन कीलत एक युव्ति को बड़ी मुश्किल में डाल गई,0.021,0.267,0.055
kathbath,deepgram_nova3,kathbath_24,मगर साथ में मनपसंद साथी हो तो मेहनत भी रास आती है,मगर साथ मेमन पसंद साथी हो तो मेहनत भी रास आती है.,1.291,0.167,0.045
kathbath,sarvam_saarika,kathbath_24,मगर साथ में मनपसंद साथी हो तो मेहनत भी रास आती है,मगर साथ में मनपसंद साथी हो तो मेहनत भी रास आती है,0.739,0.0,0.0
kathbath,whisper_large_v3,kathbath_24,मगर साथ में मनपसंद साथी हो तो मेहनत भी रास आती है,मगर साथ मेमन पसंद साथी हो तो मेहनत बिरास आती है,1.55,0.333,0.076
kathbath,indicconformer,kathbath_24,मगर साथ में मनपसंद साथी हो तो मेहनत भी रास आती है,मगर साथ में मनपसंद साथी हो तो मेहनत भी रास आती है,0.924,0.0,0.0
kathbath,indicwav2vec,kathbath_24,मगर साथ में मनपसंद साथी हो तो मेहनत भी रास आती है,मगर सात में मन पसंद साथी हो तो मेहनत बीराज आती है,0.02,0.417,0.076
kathbath,deepgram_nova3,kathbath_25,यह स्पष्ट नहीं है कि अन्नाद्रमुक कितने सीटों पर चुनाव लड़ेगी,यह स्पष्ट नहीं है कि अन्ना द्रमुख कितने सीटों पर चुनाव लड़ेगी.,1.125,0.167,0.028
kathbath,sarvam_saarika,kathbath_25,यह स्पष्ट नहीं है कि अन्नाद्रमुक कितने सीटों पर चुनाव लड़ेगी,यह स्पष्ट नहीं है कि अन्ना द्रमुक कितने सीटों पर चुनाव लड़ेगी,0.724,0.167,0.014
kathbath,whisper_large_v3,kathbath_25,यह स्पष्ट नहीं है कि अन्नाद्रमुक कितने सीटों पर चुनाव लड़ेगी,यह इसपश्ट नहीं है कि अन्ना दरमुक कितने सीटों पर चुनाव लड़ेगी,1.897,0.25,0.056
kathbath,indicconformer,kathbath_25,यह स्पष्ट नहीं है कि अन्नाद्रमुक कितने सीटों पर चुनाव लड़ेगी,यह स्पष्ट नहीं है कि अन्ना द्रमुक कितने सीटों पर चुनाव लड़ेगी,1.07,0.167,0.014
kathbath,indicwav2vec,kathbath_25,यह स्पष्ट नहीं है कि अन्नाद्रमुक कितने सीटों पर चुनाव लड़ेगी,यह स्पष्ट नहीं है कि अन्ना द्रमुख कितने सीटों पर चुनाव लड़ेगी,0.022,0.167,0.028
kathbath,deepgram_nova3,kathbath_26,ऐसे में फिल्म रिलीज के लिए अवसर बहुत सीमित हो जाते हैं,ऐसे में film release के लिए अवसर बहुत सीमित हो जाते हैं.,1.255,0.167,0.125
kathbath,sarvam_saarika,kathbath_26,ऐसे में फिल्म रिलीज के लिए अवसर बहुत सीमित हो जाते हैं,ऐसे में फ़िल्म रिलीज़ के लिए अवसर बहुत सीमित हो जाते हैं,0.696,0.167,0.047
kathbath,whisper_large_v3,kathbath_26,ऐसे में फिल्म रिलीज के लिए अवसर बहुत सीमित हो जाते हैं,ऐसे में फिल्म रिलीज के लिए अवसर भहुत सिमित हो जाते हैं,1.74,0.083,0.016
kathbath,indicconformer,kathbath_26,ऐसे में फिल्म रिलीज के लिए अवसर बहुत सीमित हो जाते हैं,ऐसे में फिल्म रिलीज के लिए अवसर बहुत सीमित हो जाते हैं,1.08,0.0,0.0
kathbath,indicwav2vec,kathbath_26,ऐसे में फिल्म रिलीज के लिए अवसर बहुत सीमित हो जाते हैं,ऐसे में फिल्म रिलीज के लिए अवसर बहुत सीमित हो जाते हैं,0.03,0.0,0.0
kathbath,deepgram_nova3,kathbath_27,वैल कुछ फैंस का कहना है रणबीर कपूर नहीं चाहते थे कैटरीना देखें बजरंगी भाईजान,"Well, कुछ fans का कहना है रणबीर कपूर नहीं चाहते थे कटरीरा देखे बजरंगी भाई जान.",1.344,0.4,0.126
kathbath,sarvam_saarika,kathbath_27,वैल कुछ फैंस का कहना है रणबीर कपूर नहीं चाहते थे कैटरीना देखें बजरंगी भाईजान,वेल कुछ फैंस का कहना है रणबीर कपूर नहीं चाहते थे कैटरीना देखे बजरंगी भाईजान,0.875,0.133,0.029
kathbath,whisper_large_v3,kathbath_27,वैल कुछ फैंस का कहना है रणबीर कपूर नहीं चाहते थे कैटरीना देखें बजरंगी भाईजान,वेल कुछ फैंस का कहना है रनबीर कपूर नहीं चाहते थे कट्रीरा देखे बजरंगी भाईजान,2.105,0.2,0.058
kathbath,indicconformer,kathbath_27,वैल कुछ फैंस का कहना है रणबीर कपूर नहीं चाहते थे कैटरीना देखें बजरंगी भाईजान,वैल कुछ फैंस का कहना है रणबीर कपूर नहीं चाहते थे कटरीरा देखे बजरंगी भाईजान,1.501,0.133,0.029
kathbath,indicwav2vec,kathbath_27,वैल कुछ फैंस का कहना है रणबीर कपूर नहीं चाहते थे कैटरीना देखें बजरंगी भाईजान,वैल कुछ फैंस का कहना है रणबीर कपूर नहीं चाहते थे कटरीना देखें बजरंगी भाई जान,0.027,0.2,0.019
kathbath,deepgram_nova3,kathbath_28,वे जॉन अब्राहम निर्मित बनाना का निर्देशन कर रहे हैं,वे John Ebrahim निर्मित बनाना का निर्देशन कर रहे हैं.,1.126,0.273,0.098
kathbath,sarvam_saarika,kathbath_28,वे जॉन अब्राहम निर्मित बनाना का निर्देशन कर रहे हैं,वे जॉन इब्राहिम निर्मित बनाना का निर्देशन कर रहे हैं,0.722,0.091,0.033
kathbath,whisper_large_v3,kathbath_28,वे जॉन अब्राहम निर्मित बनाना का निर्देशन कर रहे हैं,वे जॉन अब्राहिम निर्मित बनाना का निर्देशन कर रहे हैं,1.704,0.091,0.016
kathbath,indicconformer,kathbath_28,वे जॉन अब्राहम निर्मित बनाना का निर्देशन कर रहे हैं,वे जॉन इब्राहिम निर्मित बनाना का निर्देशन कर रहे हैं,1.063,0.091,0.033
kathbath,indicwav2vec,kathbath_28,वे जॉन अब्राहम निर्मित बनाना का निर्देशन कर रहे हैं,वे जॉने ब्राहिम निर्मित बनाना का निर्देशन कर रहे हैं,0.026,0.182,0.049
kathbath,deepgram_nova3,kathbath_29,हम तैयार किए गए चीबरेक्स प्राप्त करेंगे और उन्हें थोड़ी सी शांत कर दें,हम तैयार किए गए चीबड़ेक्स प्राप्त करेंगे और उन्हें थोड़ी सी शांत कर दें.,1.285,0.133,0.024
kathbath,sarvam_saarika,kathbath_29,हम तैयार किए गए चीबरेक्स प्राप्त करेंगे और उन्हें थोड़ी सी शांत कर दें,हम तैयार किए गए जी ब्रेक्स प्राप्त करेंगे और उन्हें थोड़ी सी शांत कर दें,0.718,0.133,0.048
kathbath,whisper_large_v3,kathbath_29,हम तैयार किए गए चीबरेक्स प्राप्त करेंगे और उन्हें थोड़ी सी शांत कर दें,हम तैयार किये गए चीबरेक्स प्राप्त करेंगे और उन्हें थोड़ी सी शांत कर दे,2.013,0.133,0.024
kathbath,indicconformer,kathbath_29,हम तैयार किए गए चीबरेक्स प्राप्त करेंगे और उन्हें थोड़ी सी शांत कर दें,हम तैयार किए गए चीबरेैक्स प्राप्त करेंगे और उन्हें थोड़ी सी शांत कर दें,0.975,0.067,0.024
kathbath,indicwav2vec,kathbath_29,हम तैयार किए गए चीबरेक्स प्राप्त करेंगे और उन्हें थोड़ी सी शांत कर दें,हम तैयार किए गए चीफ ब्रेक्स प्राप्त करेंगे और उन्हें थोड़ी सी शांत कर दें,0.023,0.133,0.048
